"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","MCP_ID"
"1",171368602,"1/10/2016","BUF",30.8306399798,-93.3687949808,1,32,100,0,0,0,0,0,2,NA,"3/31/2016","20160331_33.jpg","171368602_Jan10_BUF"
"2",171368602,"1/10/2016","BUF",30.8306500188,-93.3689316777,1,31,100,0,0,0,0,0,1,NA,"3/31/2016","20160331_34.jpg","171368602_Jan10_BUF"
"3",171368602,"1/10/2016","BUF",30.8307249256,-93.3690282649,4,29,100,0,0,0,0,0,11,NA,"3/31/2016","20160331_40.jpg","171368602_Jan10_BUF"
"4",171368602,"1/10/2016","BUF",30.8307349647,-93.3689250227,2,29,100,0,0,0,0,0,5,NA,"3/31/2016","20160331_41.jpg","171368602_Jan10_BUF"
"5",171368602,"1/10/2016","BUF",30.830749946,-93.3687983982,1,37,100,0,0,0,0,0,30,NA,"3/31/2016","20160331_42.jpg","171368602_Jan10_BUF"
"6",171368602,"1/10/2016","BUF",30.8307450037,-93.3687250135,0,37,0,0,0,0,0,0,39,NA,"3/31/2016","20160331_43.jpg","171368602_Jan10_BUF"
"7",171368602,"1/10/2016","BUF",30.8307484015,-93.3686032453,1,30,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_44.jpg","171368602_Jan10_BUF"
"8",171368602,"1/10/2016","BUF",30.8308216093,-93.368598389,2,33,100,0,0,0,0,0,21,NA,"3/31/2016","20160331_57.jpg","171368602_Jan10_BUF"
"9",171368602,"1/10/2016","BUF",30.8308299494,-93.3686983936,1,22,100,0,0,0,0,0,0,NA,"3/31/2016","20160331_58.jpg","171368602_Jan10_BUF"
"10",171368602,"1/10/2016","BUF",30.830816667,-93.3689000216,1,29,100,0,0,0,0,0,17,NA,"3/31/2016","20160331_60.jpg","171368602_Jan10_BUF"
"11",171368602,"1/10/2016","BUF",30.8308183659,-93.3690000262,2,34,100,0,0,0,0,0,2,NA,"3/31/2016","20160331_61.jpg","171368602_Jan10_BUF"
"12",171368602,"1/10/2016","BUF",30.8308200649,-93.3691083046,3,32,100,0,0,0,0,0,7,NA,"3/31/2016","20160331_62.jpg","171368602_Jan10_BUF"
"13",171368602,"1/10/2016","BUF",30.8309150496,-93.3692282741,1,20,100,0,0,0,0,0,0,NA,"3/31/2016","20160331_69.jpg","171368602_Jan10_BUF"
"14",171368602,"1/10/2016","BUF",30.8309084084,-93.3691149596,0,37,100,0,0,0,0,0,8,NA,"3/31/2016","20160331_70.jpg","171368602_Jan10_BUF"
"15",171368602,"1/10/2016","BUF",30.8309116517,-93.3690367185,3,37,100,0,0,0,0,0,18,NA,"3/31/2016","20160331_71.jpg","171368602_Jan10_BUF"
"16",171368602,"1/10/2016","BUF",30.8309249341,-93.3686183539,1,32,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_75.jpg","171368602_Jan10_BUF"
"17",171368602,"1/10/2016","BUF",30.8309300309,-93.3685066581,1,33,100,0,0,0,0,0,40,NA,"3/31/2016","Set Image","171368602_Jan10_BUF"
"18",171368602,"1/10/2016","BUF",30.831003393,-93.3683899261,1,17,70,0,0,0,0,0,40,NA,"3/31/2016","20160331_81.jpg","171368602_Jan10_BUF"
"19",171368602,"1/10/2016","BUF",30.8310233166,-93.368481657,2,34,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_82.jpg","171368602_Jan10_BUF"
"20",171368602,"1/10/2016","BUF",30.8309982962,-93.369111722,2,32,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_88.jpg","171368602_Jan10_BUF"
"21",171368602,"1/10/2016","BUF",30.8310049374,-93.3692415841,1,37,100,0,0,0,0,0,30,NA,"3/31/2016","20160331_89.jpg","171368602_Jan10_BUF"
"22",171368602,"1/10/2016","BUF",30.8310917363,-93.3692216192,5,33,100,0,0,0,0,0,40,NA,"4/5/2016","20160405.jpg","171368602_Jan10_BUF"
"23",171368602,"1/10/2016","BUF",30.831109961,-93.3691266507,4,23,100,0,0,0,0,0,0,NA,"4/5/2016","Set Image","171368602_Jan10_BUF"
"24",171368602,"1/10/2016","BUF",30.8311867207,-93.3690149549,4,27,100,0,0,0,0,0,40,NA,"4/5/2016","20160405_2.jpg","171368602_Jan10_BUF"
"25",171368602,"1/10/2016","BUF",30.8311867207,-93.369125032,2,21,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan10_BUF"
"26",171368602,"1/10/2016","BUF",30.8311833229,-93.3692183816,1,14,100,0,0,0,0,0,39,NA,"4/5/2016","20160405_3.jpg","171368602_Jan10_BUF"
"27",171368602,"1/10/2016","BUF",30.8313916706,-93.3687649434,4,22,100,0,0,0,0,0,10,NA,"4/5/2016","20160405_11.jpg","171368602_Jan10_BUF"
"28",171368602,"1/10/2016","BUF",30.8312949874,-93.36867663,4,16,100,0,0,0,0,0,3,NA,"4/5/2016","20160405_12.jpg","171368602_Jan10_BUF"
"29",171368602,"1/10/2016","BUF",30.8312917441,-93.3685633154,4,32,100,0,0,0,0,0,7,NA,"4/5/2016","20160405_13.jpg","171368602_Jan10_BUF"
"30",171368602,"1/10/2016","BUF",30.8312183822,-93.3685600779,5,28,100,0,0,0,0,0,5,NA,"4/5/2016","20160405_14.jpg","171368602_Jan10_BUF"
"31",171368602,"1/10/2016","BUF",30.8311216989,-93.3685449693,4,28,100,0,0,0,0,0,26,NA,"4/5/2016","20160405_15.jpg","171368602_Jan10_BUF"
